 ,Area,Mean,Min,Max,X,Y,Slice
1,0,184,184,184,132.000,125.000,1
2,0,190,190,190,118.167,6.833,1
3,0,130,130,130,181.500,3.500,1
4,0,109,109,109,193.500,118.167,1
5,0,108,108,108,296.833,169.500,1
6,0,163,163,163,268.833,226.167,1
7,0,91,91,91,165.500,178.833,1
8,0,110,110,110,69.500,241.500,1
9,0,179,179,179,36.167,186.833,1
10,0,118,118,118,308.833,165.500,1
11,0,113,113,113,254.833,63.500,1
12,0,191,191,191,312.167,32.833,1
13,0,161,161,161,365.500,133.500,1
14,0,144,144,144,477.500,136.167,1
15,0,131,131,131,478.833,198.167,1
16,0,89,89,89,366.167,196.167,1
17,0,120,120,120,308.833,294.833,1
18,0,56,56,56,254.167,263.500,1
19,0,183,183,183,114.167,286.167,1
20,0,139,139,139,166.833,187.500,1
21,0,60,60,60,224.833,217.500,1
22,0,123,123,123,170.167,319.500,1
23,0,190,190,190,226.833,415.500,1
24,0,197,197,197,172.167,446.167,1
25,0,83,83,83,112.167,346.833,1
26,0,110,110,110,1.500,348.167,1
27,0,148,148,148,5.500,284.167,1
28,0,139,139,139,311.500,307.500,1
29,0,80,80,80,411.500,249.500,1
30,0,141,141,141,440.167,304.833,1
31,0,131,131,131,340.833,368.833,1
32,0,188,188,188,345.500,480.167,1
33,0,121,121,121,282.167,482.833,1
34,0,111,111,111,275.500,369.500,1
35,0,128,128,128,179.500,309.500,1
36,0,174,174,174,209.500,255.500,1
